<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
200104;000000;255.97;258.19;253.7;255;35824160
200107;000000;254.75;254.84;251.4;253.9;22327940
200109;000000;253.62;259.15;253.03;259.15;40736030
200110;000000;259.41;261.76;257.01;257.99;38196300
200111;000000;257.91;259.25;256.88;258.19;18841650
200114;000000;258.21;262.4;257.15;262.4;25849900
200115;000000;262.58;263.22;258.62;259.05;31097130
200116;000000;258.45;258.91;254.21;256.31;49328500
200117;000000;257.11;259.51;256.1;257.51;40225420
200118;000000;258.2;262.82;257.75;262.5;44891340
200121;000000;263.22;266.97;261.8;266.28;29749210
200122;000000;265.47;268.9;263.02;268.06;37927820
200123;000000;268.63;270.8;265.5;266.54;44170920
200124;000000;264.9;266.89;262.24;263.73;40484270
200125;000000;264.53;267.5;264.21;265.49;27246250
200128;000000;260.99;262.1;255.32;255.32;56011660
200129;000000;257.05;258.84;254.1;257.7;47921360
200130;000000;258.4;261.57;257.61;259.94;34921040
200131;000000;257.97;258.69;255.27;257.31;31552340
200201;000000;258.5;259.2;252.17;252.2;47800190
200204;000000;251.8;254.96;251.1;253.99;52621110
200205;000000;255.33;257.38;252.9;255.4;49731290
200206;000000;255.89;257.66;253.14;255.2;50719760
200207;000000;256.66;258;251.86;252.11;43319020
200208;000000;253.13;254.3;248.73;254.3;50059840
200211;000000;254.55;255.73;252.07;252.26;34935840
200212;000000;253.78;259.77;253;254.5;79392360
200213;000000;255.4;255.49;252.31;254.5;52447350
200214;000000;253.62;255.18;252.5;253.89;36654420
200215;000000;254.38;254.38;251.4;251.75;29982140
200218;000000;252.5;253.1;250.13;251.36;26370580
200219;000000;250.08;250.44;247.57;249.2;36259430
200220;000000;250.37;250.68;247.95;249.7;25740870
200221;000000;250.07;252.17;249.13;250.15;30707880
200222;000000;248.42;251.49;247.24;250.8;27682840
200226;000000;247.98;248.83;245.17;245.19;40505070
200227;000000;244.75;251.21;243.22;250.8;67529090
200228;000000;247.5;248.98;242;242.88;57887670
200229;000000;234.96;239;231;233.36;123187610
200303;000000;238.55;241;218.86;228.17;101688550
200304;000000;233;239;232.28;236.63;83491100
200305;000000;234.13;236.7;232.62;235.27;54165550
200306;000000;237.03;238.72;230.64;232.33;56972700
200307;000000;227.99;229.2;216.67;219.99;103932680
200311;000000;197.99;212.74;184.86;201.2;243308680
200312;000000;202.2;204.33;192.05;194.53;137765860
200313;000000;185.17;187.87;173.14;175.91;197162330
200314;000000;175;199.52;174.3;198.6;262618120
200317;000000;194;196.7;186;195.85;173656160
200318;000000;194.92;204.78;183.8;184.01;183602360
200319;000000;178.95;182.2;172.15;174.27;154736970
200320;000000;178.5;190.15;173.06;189.51;187222370
200321;000000;198.62;201.86;192.05;195.69;170124950
200324;000000;188;190.99;182.1;183.37;157690770
200325;000000;193.3;195;189.1;192.64;104281150
200326;000000;196.37;201;182.32;188.08;187724830
200327;000000;187.69;191.2;182.8;188.07;111338470
200328;000000;188.05;188.97;180.17;180.38;114106500
200331;000000;177.03;183.2;174.9;183;93995170
200401;000000;186;188.77;184.25;187.21;113605840
200402;000000;183.2;185.47;182;184.78;76453050
200403;000000;188.34;189.9;182;186.95;125289380
200404;000000;186.6;187.49;184.28;185.64;92726520
200407;000000;187.52;192.02;186.42;190.7;77520920
200408;000000;193.1;200.54;193.06;197.63;136262480
200409;000000;196.2;200.29;195.12;200.29;89695510
200410;000000;202.4;205.44;199.3;203.61;109748080
200411;000000;201.85;202.75;200.7;201.99;28658630
200414;000000;201.99;202.16;197.32;198.26;41196340
200415;000000;199.99;202.85;196.1;197.37;80132500
200416;000000;196;196.25;186.06;186.07;97979270
200417;000000;187.22;191.67;183.53;188.5;109069050
200418;000000;192.5;192.7;188.28;191.8;71522530
200421;000000;190.6;192.23;187.31;189.32;62162030
200422;000000;185.54;187.5;183.65;186.05;94053840
200423;000000;185.05;191.94;184.5;190.2;75194080
200424;000000;192;192.5;188.68;190.94;62581600
200425;000000;189.73;191.65;187.7;188.91;55252250
200428;000000;189.95;190.5;188.43;188.9;43627150
200429;000000;188.55;194.22;188.17;192.8;78555750
200430;000000;194.36;195.8;192.86;195.8;69766160
200501;000000;196.52;199.7;195.46;197.25;87028430
200505;000000;195.68;195.68;193.26;193.69;56239930
200506;000000;195.54;196.46;194;194.75;35239920
200507;000000;194.99;197.23;194.3;195.7;49513900
200508;000000;196;198.15;195.06;195.51;57670560
200509;000000;196;196.25;194.6;196.02;33775280
200513;000000;193.3;198;191.2;191.4;67270320
200514;000000;190.05;190.6;186.66;187.31;63256890
200515;000000;186.49;188.2;183.5;183.81;76532900
200516;000000;186.13;186.78;183.33;183.85;63033850
200519;000000;186.06;190;185.4;188.93;77252650
200520;000000;190.38;192.55;186.8;189;105168650
200521;000000;188.45;193.98;186.6;193.98;93311880
200522;000000;194;196.31;191.5;192.4;79390610
200523;000000;190.97;191.25;188.6;188.9;56926660
200526;000000;189.62;191.31;188.8;191;23090830
200527;000000;192.83;196.1;192.11;194;79038520
200528;000000;194.01;198.97;193.32;198.51;115900270
200529;000000;199.33;205;198.4;205;117073600
200530;000000;204.2;204.4;199.17;200.5;106525280
200602;000000;203.1;205.93;201.81;203.66;65100110
200603;000000;204.57;212;204;212;116798700
200604;000000;214;221.92;213.51;221.5;144505760
200605;000000;220.67;221;212.55;213.1;122406780
200606;000000;215.13;219.93;213.6;219.1;88508590
200609;000000;219.73;223.15;217.45;220.3;88612450
200610;000000;221.19;221.88;215.44;217.23;69097350
200611;000000;217;217.58;211.82;212.53;91851980
200612;000000;208.99;209.24;206.01;208.35;69726170
200616;000000;205.07;207.85;202.3;207.32;75360850
200617;000000;210.3;212.19;207.52;207.76;66267920
200618;000000;208.52;210.35;206.94;208.14;56455710
200619;000000;207.8;208.1;202.72;203.77;72204680
200620;000000;205.39;209.2;204.55;207;74923730
200623;000000;206.7;207.95;204.28;206.4;58621480
200624;000000;207.51;209.74;206.43;207.3;53213440
200626;000000;200.99;207;200.75;206.92;70420930
200627;000000;206.97;207.5;201.76;203.15;46627040
200630;000000;201.09;205.86;200.97;205.8;42613600
200701;000000;205.66;206;202.36;203.22;43705610
200703;000000;205.01;210.15;204.28;209.6;76154820
200704;000000;210;211.97;209;210.95;50602810
200707;000000;212.94;216.79;212.94;214.61;55118170
200708;000000;212.9;214.23;210.51;210.53;44709210
200709;000000;210.8;212.29;209.3;210.97;41999670
200710;000000;210.7;211.7;208.1;209.11;45129130
200711;000000;207.5;212.6;206.57;212.28;50631590
200714;000000;213.86;214.2;208.11;208.39;51159680
200715;000000;208.38;209.58;205.7;209.5;65996740
200716;000000;210.29;211.8;207.65;211.09;49443460
200717;000000;209.7;212.6;208.63;211.35;38986190
200718;000000;211.68;212.18;209.86;210.81;36123640
200721;000000;210.27;214.48;209.08;213.89;44482520
200722;000000;215;219.1;214.38;215.73;75241030
200723;000000;215.98;217.65;213.56;216.71;48418830
200724;000000;217.49;219.28;215;215.41;43348380
200725;000000;214.78;217.41;197.73;215.97;53375040
200728;000000;216.64;218.38;215.15;216.9;38282820
200729;000000;216.82;217.42;215.25;215.53;24557890
200730;000000;215.89;219.18;215.63;219.18;41332240
200731;000000;218.71;218.88;215.34;218.15;51172130
200801;000000;218.18;221.98;217.43;221.57;59643550
200804;000000;222.27;228.36;221.3;226.72;64491510
200805;000000;227.39;228.85;225.63;227.16;41990440
200806;000000;228.15;229.17;224.31;226.4;54596910
200807;000000;226.6;227.43;224.35;226;30150840
200808;000000;225.05;227.6;224.46;227.28;35603190
200811;000000;227.88;228.7;224.51;225.99;43443970
200812;000000;226.21;234.73;226.21;232.65;81839190
200813;000000;233.14;242.5;233.03;242.4;100956370
200814;000000;242.14;244.04;238.57;241.39;85633070
200815;000000;242;242.22;238.47;239.99;44251150
200818;000000;240.8;242.35;234.5;237.8;77010820
200819;000000;236.88;239.83;235.69;236.3;36709210
200820;000000;235.89;240.75;235.19;239.4;38198470
200821;000000;238.44;238.51;230.33;232.48;116907020
200822;000000;233.32;236.5;227.35;231.22;138860290
200825;000000;232.5;233.7;230.2;231.81;44448280
200826;000000;232.22;232.97;226.9;228.08;58959140
200827;000000;228.3;229.4;224.7;227.8;75719340
200828;000000;227.8;229.98;225.6;226.23;51005540
200829;000000;227;228.1;225.19;226.3;40700580
200901;000000;227.02;229.71;225;226.1;61944640
200902;000000;226.71;227.97;226.01;227.64;37502870
200903;000000;228.56;228.75;220.85;222.57;77783830
200904;000000;221.7;224.23;218;218.32;69352330
200905;000000;218.01;222.5;216.75;222.21;70514060
200908;000000;221.58;224.2;220.5;221.32;59227020
200909;000000;222.01;222.48;216.29;217.68;69809370
200910;000000;217.03;218.88;216.8;218;47977600
200911;000000;218.25;222.15;215.79;220.6;71152000
200912;000000;221.22;223.15;219.75;221.07;45633510
200915;000000;222.32;227.54;222.13;227.37;62798500
200916;000000;228.21;231.95;227.39;231.5;61742490
200917;000000;231.73;232.6;230.15;231.06;39547830
200918;000000;229.1;231.75;228.57;231.46;48862560
200919;000000;232.01;232.59;229;230.3;54568200
200922;000000;229.88;230.07;223.49;226.25;70253350
